"state","solution_level","applicable_baseline","applicable_alternative"
"ND","Recycling","179947.073","178945.084"
"OH","Prevention","47888.098","108448.112"
"OH","Rescue","55949.924","82346.286"
"OH","Repurpose","135739.62","133482.705"
"OH","Recycling","1323614.031","1334962.012"
"OK","Prevention","15562.71","35147.299"
"OK","Rescue","19793.978","29536.664"
"OK","Repurpose","29799.455","29149.743"
"OK","Recycling","406557.73","410355.253"
"OR","Prevention","13475.417","31340.765"
"OR","Rescue","42560.565","72444.677"
"OR","Repurpose","60787.284","59179.819"
"OR","Recycling","456729.615","458027.635"
"PA","Prevention","46457.479","108494.911"
"PA","Rescue","64510.497","98264.115"
"PA","Repurpose","117511.61","115212.178"
"PA","Recycling","1302702.143","1314947.999"
"RI","Prevention","3462.678","8269.3795"
"RI","Rescue","4092.535","5698.992"
"RI","Repurpose","4901.579","4789.989"
"RI","Recycling","93928.152","95448.433"
"SC","Prevention","22002.203","51449.6515"
"SC","Rescue","28586.238","42732.265"
"SC","Repurpose","30529.25","29824.1"
"SC","Recycling","566609.35","573521.833"
"SD","Prevention","3726.43","8379.448"
"SD","Rescue","3622.443","5224.448"
"SD","Repurpose","20870.723","20713.873"
"SD","Recycling","118626.659","119576.87"
"TN","Prevention","31230.22","70831.24"
"TN","Rescue","31818.066","45557.465"
"TN","Repurpose","81474.842","80268.041"
"TN","Recycling","845469.1","853521.855"
"TX","Prevention","89762.339","201071.4085"
"TX","Rescue","127562.386","188915.133"
"TX","Repurpose","247011.214","242724.613"
"TX","Recycling","2610192.697","2636783.814"
"UT","Prevention","11055.426","24868.284"
"UT","Rescue","13180.387","19343.134"
"UT","Repurpose","49177.301","48649.244"
"UT","Recycling","340264.864","343627.868"
"VT","Prevention","2343.21","5407.635"
"VT","Rescue","2985.647","4561.22"
"VT","Repurpose","12725.735","12579.59"
"VT","Recycling","76208.661","76931.958"
"VA","Prevention","36445.396","86495.2465"
"VA","Rescue","43806.367","63059.57"
"VA","Repurpose","50998.055","49799.47"
"VA","Recycling","992415.278","1005362.289"
"WA","Prevention","23625.636","56198.5165"
"WA","Rescue","187691.554","332895.045"
"WA","Repurpose","155503.861","149578.73"
"WA","Recycling","1030372.163","1027121.449"
"WV","Prevention","7218.853","16978.014"
"WV","Rescue","8484.585","12368.261"
"WV","Repurpose","5519.876","5357.237"
"WV","Recycling","178974.541","180982.873"
"WI","Prevention","21313.787","47762.524"
"WI","Rescue","50930.23","86782.968"
"WI","Repurpose","501829.878","499075.838"
"WI","Recycling","1382859.421","1383612.682"
"WY","Prevention","2574.593","6068.502"
"WY","Rescue","2338.526","3135.689"
"WY","Repurpose","1677.696","1635.613"
"WY","Recycling","63408.295","64350.18"
