"solution_level","total_fw_kg_per_capita","likely_fw_baseline_low_kg_per_capita","likely_fw_baseline_high_kg_per_capita","likely_fw_alternative_low_kg_per_capita","likely_fw_alternative_high_kg_per_capita","likely_fw_baseline_mean_kg_per_capita","likely_fw_alternative_mean_kg_per_capita"
"Prevention",158.287926200036,0.566472417795837,1.13294483559167,1.29109148417348,2.58218296834697,0.849708626693755,1.93663722626022
"Rescue",158.287926200036,2.19827716671195,4.3965543334239,3.60179395224266,7.20358790448531,3.29741575006792,5.40269092836398
"Repurpose",158.287926200036,2.19751541150963,4.39503082301926,2.14933473418667,4.29866946837333,3.29627311726445,3.22400210128
"Recycling",158.287926200036,15.869645245664,31.739290491328,16.0273112034741,32.0546224069482,23.804467868496,24.0409668052112
"All",158.287926200036,20.8319102416814,41.6638204833628,23.0695313740769,46.1390627481538,31.2478653625221,34.6042970611154
"Updated",158.287926200036,4.96226499601742,9.92452999203483,7.0422201706028,14.0844403412056,7.44339749402612,10.5633302559042
